,tokenized_text,is_after_split_date
93,jules experience psychosis id love talk piece im writing parallels psychotic thinking drop dm like x,False
94,girl boy asked excempt asthma grounds school said children excempt daughter feels uncomfortable take goes classroom problem school interpretation enforcement,False
95,ooooh love gif thanks think unmasked traits supporting others authentic selves etc started feel maybe could allow learn much black women like,False
96,security security boulevard,False
97,music bible gaming history human condition indica vs sativa comedy biochemistry toxicology global politics altruism running ufc design thinking publishing pr branding content management football life pettiness,False
98,actively wondering considered accessibility customization preference topic guesswork diversity preference final vs dynamic may related sensitive active users preattentive processing mechanisms,False
99,really proud latest episode minding brain interview several members community topic,False
100,hey heres post might missed read essentialness selfcare,False
101,think gender stuff taking ownership body brain seeing want society medical industry tell us,False
102,team,False
103,looks different everyone possible hyperfocus rare look way people describe meds working may either need another medication maybe could different type similar symptoms,False
104,bpd antisocial personality disorder literally mental health disorder thats spectrum literally lose mind right mow,False
105,realized guys probably know far apart hour drive good traffic,False
106,congrats kate reading work collection website independent study cant imagine academic job market process yet im happy,False
107,think outside box like nobody business box may end shredded recycling bin definitely thought outside,False
108,new blog post good bad ugly never thought would relate homer simpson,False
109,,False
110,easytouse handbook focused dyslexic strengths instead phonemic weaknesses free ebook today amazon dyslexia tool kit expanded edition,False
111,dang thank saying maybe maybe light skin black person yt culture never found unlearning especially difficult good know people find challenging communicate effectively,False
112,also true asperger,False
113,fucking autistic like think would impact emotionally would someone want live place eugenics absolutely disgusting socially acceptable support,False
114,autism made successful olympic rower chris morgan shows strength abc news,False
115,grateful julia bascom work behalf autistic people communication cognitive abilities read interview find awesomeness,False
116,human unforgettable unconventional memoir power story one exceptional young man available,False
117,mel flexes awesome friendskills kickass wingwoman,False
118,people always tell like way speak know mean think combination much old english lit child severe lisp,False
119,misconceptions via,False
120,learned new today,False
121,sooooooo good believe many points details gets half hour podcast,False
122,lego chewies arrived help dealing ocd focusing sensory overload highly recommend,False
123,see instagram video,False
124,lucky leaders like gil aguilar gil overcome champion lead shares challenges successes developer,False
125,word gareth ford williams,False
126,said would never today two carriers sea one trials one final stages preparations maiden deployment proud part global modern ready navy also values,False
127,mitchell vs machines new movie netflix actionpacked humorous yet heartfelt family story nuanced commentary use technology lives lots welldone pop culture references also great lgbtq representation,False
