,tokenized_text,is_after_split_date
96,today students staff,False
97,article definitely worth read autism identity disease inside movement,False
98,feel like terms different way autistic people experience love attraction comes play like autism queerness intertwined inextricably,False
99,creating inclusive supportive work environment key company culture put people position strengths going come,False
100,little upsets link labelled click,False
101,helped us lot recommended teachers educators wish connect,False
102,opposite spontaneous need plenty planning advance notice strategizing sounds like read tips spontaneous,False
103,couldnt fit info one tweet guests show link dev isnt yet apple podcasts,False
104,really enjoyed perspective coping thrown us much learn people whose brains function differently,False
105,really kickass new episode podcast today develop universal design naturally complex subject expert guests came big time informationdense episode spotify link,False
106,helping people autism spectrum disorder manage masks tests covid,False
107,dont know articulated point something ppl reading autism really doesnt sit right dont ableist lol easy like u could nice person u dont read bbc article ygm,False
108,join webinar hear cognitive design team explore new perspectives ways thinking spur creative solutions innovations untap potential currently overlooked book,False
109,challenges opportunities discussion around inclusion learning development programmes meeting needs future needed going forward youth employment london,False
110,learned much path including embrace still lots learn field feels though changing better,False
111,finding common ehlersdanlos families,False
112,x years time reveal terms hopelessly quaint,False
113,profession must provide safe environment regardless gender identity expression sexual orientation disabilities physical appearance body size ethnicity nationality race age religion similar personal characteristics,False
114,ive learned much latest episode web developer taught always put alt tag image use semantic html much web accessibility,False
115,rt elemental autistic people need cured treated advocates argue instead society learn accept appreciate accommodate needs katherinelewis reports,False
116,include yes,False
117,autism identity disease inside movement katherine reynolds lewis,False
118,activists demanding people treated decisionmakers medical community rather subjects expert decisions katherine reynolds lewis,False
119,people see disability identity condition cured want cure part neurology part like cure blackness,False
120,deep dive movement upends traditional thinking around mental disabilities important inspiring please read,False
121,autism identity disease inside movement katherine reynolds lewis,False
122,never set something like never even felt could safely participate protests autism physical disability elijah sibling sensitive introverted different family needs help,False
123,invited join us wednesday july pm est hear client freddie mac ms sarah crump office inclusive engagement freddie mac discuss company hiring efforts team,False
124,people miss universal design isnt making something perfectly accessible everybody building multimodality everyone check recent episode,False
125,autism identity disease inside movement excellent article encourage read,False
126,excellent reminder autism speaks doesnt truly advocate fully embrace folks disabled folks disparately impacted unemployment incarceration thus disability struggles intersect struggles,False
127,take issue medical model managing general frankly although model lot better assuming everything behavioral result original sin imbalance humors something,False
128,miss last nights webinar thank really interesting subject matter masterclass present webinar,False
129,great blog anyone familiar concept,False
130,movement must intersectional,False
131,early intervention needed despite autism pathological words wisdom proponent,False
132,wrist bands touted way help people feel comfortable returning work considered difficult way make people feel welcome like telecommuting think makes people feel,False
133,help spread word check website,False
134,please stop scrolling image clicked visually disorienting,False
135,many autistic adults autism speaks enemy represents goal eliminating autism rather embracing autistic people part human diversity,False
136,confusion gaslighting taken advantage please rt,False
137,great story never forget daughter spoke autism advocacy panel said people keep trying fix broken autistic heart swelled pride immense grief misunderstood feels read,False
138,autism identity disease inside movement katherine reynolds lewis,False
139,anyone read yet two top passions strength championed true try find,False
140,wrote evidencebased spell trying weave brain around importance indigenous technologies sustainability myth postenlightenment western technology say made bowl,False
141,really sad used uneducated autism adhd ocd bipolar etc works past taught well lead stigmatizing traits disorders really need teach children better mental illness,False
142,concept based science know brains work different wired different view brain differences normal help us frame challenges differences rather deficits,False
143,great conversations today got important thought right design new normal must everything connect diverse groups virtual table,False
144,aloha colleague looking teachers interested work addressing mental illness literature english teaching lets connect,False
145,pretty sure yes website lists,False
146,time education works children,False
147,therapist educator gamers wanna chat twitch make youtube video differently wired brain gaming reach itll fun conversation,False
148,still read neurotribes legacy autism future strongly advise,False
149,feel allistic nt writers writing characters,False
150,new study alert imagining future msc student looking autistic nonautistic adults study might affect imagine future events study online due covid restrictions,False
151,parent hate term whole asd diagnosis system hate forced put label child brain different way operating disease,False
152,idea would interested set would apart working together chance opening conversation getting people involved discuss rights enhancements solutions,False
