,Work,Lockdown,Supervisor
2021-04-20,213.0,12.0,74.0
2021-04-23,245.0,26.0,118.0
2021-04-24,86.0,17.0,30.0
2021-04-25,115.0,10.0,32.0
2021-04-27,275.0,17.0,87.0
2021-04-28,204.0,22.0,62.0
2021-04-29,258.0,24.0,100.0
2021-05-02,77.0,6.0,39.0
2021-05-03,151.0,13.0,50.0
2021-05-04,157.0,10.0,49.0
2021-05-05,208.0,20.0,92.0
2021-05-07,114.0,6.0,45.0
2021-05-08,95.0,10.0,43.0
2021-05-09,96.0,11.0,25.0
2021-05-11,159.0,20.0,58.0
2021-05-13,170.0,24.0,72.0
2021-05-15,65.0,2.0,22.0
2021-05-17,124.0,17.0,46.0
2021-05-20,198.0,33.0,92.0
2021-05-23,63.0,9.0,30.0
2021-05-29,62.0,6.0,26.0
2021-06-07,139.0,25.0,71.0
2021-06-09,152.0,16.0,57.0
2021-06-11,146.0,14.0,52.0
2021-06-12,67.0,9.0,32.0
2021-06-14,116.0,15.0,41.0
2021-06-15,156.0,16.0,69.0
2021-06-21,101.0,15.0,47.0
2021-06-22,124.0,17.0,72.0
2021-06-23,175.0,22.0,96.0
2021-06-24,134.0,13.0,59.0
2021-06-25,133.0,7.0,58.0
2021-06-29,130.0,4.0,57.0
2021-07-04,93.0,6.0,47.0
2021-07-08,151.0,8.0,54.0
2021-07-10,68.0,6.0,19.0
2021-07-13,188.0,17.0,90.0
2021-07-14,176.0,21.0,56.0
2021-07-15,165.0,23.0,49.0
2021-07-18,62.0,8.0,33.0
2021-07-19,127.0,8.0,38.0
2021-07-22,141.0,13.0,57.0
2021-07-26,144.0,11.0,52.0
2021-07-28,130.0,24.0,42.0
2021-07-30,103.0,9.0,37.0
2021-08-03,106.0,12.0,38.0
2021-08-05,126.0,5.0,46.0
2021-08-06,120.0,9.0,46.0
2021-08-08,61.0,10.0,25.0
2021-08-10,160.0,21.0,68.0
2021-08-12,204.0,13.0,76.0
2021-08-13,165.0,10.0,67.0
2021-08-15,75.0,7.0,36.0
2021-08-16,147.0,6.0,62.0
2021-08-17,166.0,7.0,53.0
2021-08-20,122.0,16.0,53.0
2021-08-24,159.0,15.0,81.0
2021-08-27,117.0,11.0,41.0
2021-08-30,97.0,8.0,43.0
2021-09-01,154.0,12.0,64.0
2021-09-06,127.0,3.0,59.0
2021-09-07,154.0,7.0,59.0
2021-09-08,182.0,15.0,82.0
2021-09-10,109.0,6.0,49.0
2021-09-13,143.0,8.0,62.0
2021-09-14,147.0,10.0,62.0
2021-09-15,135.0,19.0,66.0
2021-09-18,98.0,14.0,32.0
2021-09-19,70.0,6.0,30.0
2021-09-20,148.0,12.0,56.0
2021-09-21,168.0,12.0,78.0
2021-09-23,171.0,14.0,81.0
2021-09-24,126.0,13.0,52.0
2021-09-26,100.0,9.0,54.0
2021-09-27,135.0,12.0,78.0
2021-09-28,134.0,10.0,54.0
2021-09-29,172.0,15.0,86.0
2021-10-01,217.0,7.0,79.0
2021-10-02,103.0,8.0,39.0
2021-10-03,77.0,3.0,21.0
2021-10-04,213.0,15.0,67.0
2021-10-05,324.0,22.0,71.0
2021-10-07,229.0,10.0,67.0
2021-10-08,209.0,17.0,60.0
2021-10-09,104.0,13.0,49.0
2021-10-13,231.0,9.0,66.0
2021-10-14,204.0,10.0,62.0
2021-10-15,220.0,9.0,64.0
2021-10-16,128.0,5.0,50.0
2021-10-17,83.0,6.0,25.0
2021-10-18,165.0,14.0,62.0
2021-10-19,203.0,10.0,66.0
2021-10-22,190.0,10.0,71.0
2021-10-24,88.0,5.0,31.0
2021-10-30,84.0,12.0,39.0
2021-11-01,169.0,10.0,58.0
2021-11-03,155.0,5.0,61.0
2021-11-05,152.0,10.0,54.0
2021-11-10,183.0,10.0,63.0
2021-11-15,185.0,19.0,57.0
2021-11-16,197.0,5.0,80.0
2021-11-18,256.0,17.0,114.0
2021-11-19,171.0,8.0,60.0
2021-11-21,67.0,4.0,20.0
2021-11-22,229.0,10.0,78.0
2021-11-23,177.0,9.0,65.0
2021-11-24,154.0,7.0,56.0
2021-11-25,142.0,10.0,45.0
2021-11-26,142.0,12.0,64.0
2021-11-28,93.0,5.0,28.0
2021-12-01,191.0,11.0,68.0
2021-12-04,105.0,6.0,40.0
2021-12-05,104.0,12.0,34.0
2021-12-06,159.0,10.0,60.0
2021-12-07,172.0,8.0,68.0
2021-12-09,179.0,13.0,80.0
2021-12-13,137.0,7.0,52.0
2021-12-14,184.0,6.0,92.0
2021-12-15,143.0,13.0,55.0
2021-12-16,123.0,9.0,50.0
2021-12-17,100.0,7.0,35.0
2021-12-19,93.0,4.0,32.0
2021-12-20,118.0,9.0,46.0
2021-12-21,135.0,5.0,44.0
2021-12-22,148.0,12.0,54.0
2021-12-23,99.0,4.0,22.0
2021-12-28,99.0,14.0,34.0
2022-01-03,102.0,12.0,26.0
2022-01-05,107.0,8.0,35.0
2022-01-06,153.0,13.0,75.0
2022-01-08,95.0,12.0,33.0
2022-01-09,68.0,4.0,23.0
2022-01-10,131.0,18.0,51.0
2022-01-11,155.0,13.0,80.0
2022-01-12,142.0,11.0,48.0
2022-01-13,150.0,11.0,64.0
2022-01-14,158.0,6.0,68.0
2022-01-16,54.0,3.0,26.0
2022-01-17,117.0,11.0,50.0
2022-01-18,161.0,14.0,57.0
2022-01-19,170.0,18.0,67.0
2022-01-20,179.0,14.0,74.0
2022-01-23,76.0,8.0,34.0
2022-01-24,150.0,9.0,58.0
2022-01-25,164.0,9.0,73.0
2022-01-29,70.0,9.0,21.0
2022-02-01,169.0,13.0,62.0
2022-02-02,154.0,9.0,71.0
2022-02-03,162.0,16.0,72.0
2022-02-06,76.0,2.0,36.0
2022-02-07,136.0,5.0,53.0
2022-02-09,207.0,13.0,92.0
2022-02-10,134.0,9.0,67.0
2022-02-15,136.0,13.0,37.0
2022-02-16,170.0,12.0,57.0
2022-02-17,178.0,15.0,66.0
2022-02-18,140.0,11.0,58.0
2022-02-21,178.0,17.0,90.0
2022-02-23,172.0,17.0,64.0
2022-02-24,192.0,8.0,104.0
2022-02-26,61.0,13.0,27.0
2022-03-02,158.0,10.0,66.0
2022-03-03,210.0,17.0,102.0
2022-03-04,200.0,12.0,78.0
2022-03-06,95.0,13.0,50.0
2022-03-07,160.0,10.0,53.0
2022-03-08,168.0,19.0,71.0
2022-03-09,164.0,10.0,59.0
2022-03-11,160.0,14.0,57.0
2022-03-13,95.0,13.0,45.0
2022-03-14,252.0,13.0,119.0
2022-03-15,259.0,28.0,93.0
2022-03-16,243.0,15.0,97.0
2022-03-17,225.0,24.0,101.0
2022-03-18,221.0,19.0,79.0
2022-03-19,113.0,10.0,47.0
2022-03-20,98.0,13.0,45.0
2022-03-21,791.0,58.0,307.0
2022-03-22,560.0,35.0,245.0
2022-03-23,518.0,18.0,181.0
2022-03-24,548.0,39.0,223.0
2022-03-25,392.0,21.0,130.0
2022-03-27,145.0,6.0,47.0
2022-03-28,413.0,6.0,78.0
2022-03-29,379.0,15.0,81.0
2022-03-30,340.0,7.0,99.0
2022-04-01,706.0,22.0,161.0
2022-04-02,1079.0,13.0,210.0
2022-04-03,247.0,12.0,73.0
